"What topics does '🕉️ Philosophy & Doctrine — The Eternal Foundation' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/00-Index.md — covers: 📜 Contents
"What topics does '🧮 Logic & Discrete Math — The Crystalline Foundations' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/08-Logic-and-Discrete-Math.md — covers: I. PROPOSITIONAL LOGIC; II. PREDICATE LOGIC; III. SETS; IV. RELATIONS; V. FUNCTIONS; VI. INFINITE SETS (cardinality); VII. GRAPHS; VIII. TREES — THE FUNDAMENTAL STRUCTURE; IX. RECURRENCES; X. COMBINATORICS — COUNTING; XI. THE 12 EXERCISES; XII. RECOMMENDED READING
"What topics does '🪜 Abstraction & Decomposition — The Two Superpowers' cover, and where does it live?","DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/09-Abstraction-and-Decomposition.md — covers: I. ABSTRACTION; II. THE LEAKY ABSTRACTION; III. DECOMPOSITION; IV. THE THREE QUESTIONS OF DECOMPOSITION; V. DECOMPOSITION IN ALGORITHMS; VI. EXAMPLE: DECOMPOSING ""TWO SUM""; VII. EXAMPLE: DECOMPOSING ""DESIGN URL SHORTENER""; VIII. ABSTRACTIONS IN DSA — KEY EXAMPLES; IX. SIGNS OF BAD DECOMPOSITION; X. THE FINAL TRUTH"
"What topics does '⚙️ Compilation & Execution — From Source to Silicon' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/10-Compilation-and-Execution.md — covers: I. THE PIPELINE; II. COMPILED VS INTERPRETED; III. COMPILER OPTIMIZATIONS (Why C++ -O2 matters); IV. WHAT YOUR CODE BECOMES; V. UNDEFINED BEHAVIOR (UB); VI. STATIC vs DYNAMIC LINKING; VII. THE STACK FRAME (revisited deeper); VIII. HEAP ALLOCATION; IX. DYNAMIC DISPATCH (vtables); X. PYTHON INTERNALS (briefly); XI. JAVA / JVM; XII. WHAT THIS MEANS FOR YOUR CODE
"What topics does '🧠 Problem Solving Foundations Universe' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/00-Index.md — covers: 📚 Contents
"What topics does '📖 How to Read a Problem — The Forensic Discipline' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/01-How-To-Read-A-Problem.md — covers: I. THE THREE-READ RULE; II. THE PROBLEM ANATOMY; III. THE RESTATE-IN-YOUR-WORDS TEST; IV. THE EXAMPLE-VERIFICATION DRILL; V. KEYWORDS THAT TRIGGER PATTERNS; VI. THE NOTE-TAKING DISCIPLINE; VII. THE 5-MINUTE RULE; VIII. RED FLAGS WHILE READING; IX. THE FINAL PROTOCOL
"What topics does '🔍 Constraint Analysis — The Whisper of Algorithms' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/02-Constraint-Analysis.md — covers: I. THE MASTER TABLE; II. RULE OF THUMB: 10⁸ OPERATIONS / SECOND; III. WHEN MULTIPLE PARAMETERS; IV. SPACE CONSTRAINTS; V. VALUE RANGE CONSTRAINTS; VI. SPECIAL CONSTRAINT PATTERNS; VII. THE CONSTRAINT-ALGORITHM REVERSE LOOKUP; VIII. EXERCISES; IX. THE FINAL TRUTH
"What topics does '🔬 Observation Extraction — Finding the Hidden Insight' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/03-Observation-Extraction.md — covers: I. WHAT IS AN OBSERVATION?; II. WHERE TO LOOK; III. SMALL-CASE EXPLORATION; IV. EXTREMES & EDGE INSIGHTS; V. THE INVARIANT HUNT; VI. MONOTONICITY DISCOVERY; VII. SYMMETRY EXPLOITATION; VIII. STRUCTURE DISCOVERY; IX. THE OBSERVATION CHEAT-SHEET; X. WHEN YOU CAN'T FIND THE OBSERVATION; XI. THE OBSERVATION JOURNAL; XII. EXERCISES
"What topics does '🎯 Pattern Recognition — Compressed Experience' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/04-Pattern-Recognition.md — covers: I. WHY PATTERN RECOGNITION; II. THE PATTERN HIERARCHY; III. THE TOP 50 PATTERNS (CHEAT-SHEET); IV. PATTERN MATCHING WORKFLOW; V. TRAINING PATTERN RECOGNITION; VI. THE DANGER: OVER-PATTERN-MATCHING; VII. PATTERN COMPOSITION; VIII. PATTERN VS ALGORITHM; IX. EXERCISES
"What topics does '🔨 Brute Force First — The Sacred Starting Point' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/05-Brute-Force-First.md — covers: I. WHY BRUTE FORCE?; II. THE BRUTE FORCE TEMPLATES; III. THE BRUTE FORCE COMPLEXITY ANALYSIS; IV. WHEN BRUTE FORCE IS THE ANSWER; V. STRESS TESTING (THE MURDER WEAPON); VI. THE BRUTE FORCE SHRINKAGE; VII. WHY BEGINNERS SKIP BRUTE FORCE; VIII. THE BRUTE → OPTIMAL JOURNEY; IX. THE FINAL TRUTH
"What topics does '🚀 Optimization Thinking — From Naive to Optimal' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/06-Optimization-Thinking.md — covers: I. THE SEVEN SOURCES OF REDUNDANCY; II. THE OPTIMIZATION HIERARCHY; III. THE OPTIMIZATION RECIPES; IV. THE OPTIMIZATION QUESTIONS; V. THE EXAMPLE: KADANE'S ALGORITHM; VI. WHEN OPTIMIZATION DOESN'T HELP; VII. THE OPTIMIZATION HIERARCHY (PROFESSIONAL); VIII. THE FINAL TRUTH
"What topics does '🎚️ State Design — The Architecture of Solutions' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/07-State-Design.md — covers: I. THE STATE-DESIGN PROBLEM; II. THE QUESTIONS OF STATE DESIGN; III. EXAMPLES OF STATE DESIGN; IV. STATE EXPLOSION SYMPTOMS; V. THE STATE-COLLAPSE TECHNIQUES; VI. STATE FOR GRAPH SEARCH (BFS/DFS); VII. STATE DESIGN MISTAKES; VIII. THE STATE-DESIGN CHECKLIST; IX. THE FINAL TRUTH
"What topics does '⚖️ Invariant Discovery — What Never Changes is What Guides You' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/08-Invariant-Discovery.md — covers: I. WHAT IS AN INVARIANT?; II. TYPES OF INVARIANTS; III. THE INVARIANT HUNT (in problem solving); IV. FAMOUS INVARIANT EXAMPLES; V. INVARIANT-DRIVEN SOLUTIONS; VI. LOOP INVARIANT — THE CORRECTNESS TOOL; VII. EXERCISES; VIII. INVARIANT-FIRST PROBLEM SOLVING; IX. THE FINAL TRUTH
"What topics does '📐 Proof Construction — Conviction without Doubt' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/09-Proof-Construction.md — covers: I. WHY PROVE?; II. PROOF TECHNIQUES (THE CORE FIVE); III. PROVING ALGORITHMS; IV. EXAMPLE: PROVING DIJKSTRA'S CORRECTNESS; V. WHEN PROOF FAILS — THE ALGORITHM IS WRONG; VI. PROOF IN CONTESTS; VII. EXERCISES; VIII. PROOF-FREE LIVING IS PROOF-LESS LIVING; IX. RECOMMENDED READING
"What topics does '🛡️ Edge Case Analysis — Where Lazy Minds Die' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/10-Edge-Case-Analysis.md — covers: I. THE EDGE CASE TAXONOMY; II. THE SYSTEMATIC EDGE CASE CHECKLIST; III. INTEGER OVERFLOW — THE SILENT KILLER; IV. NULL / EMPTY CHECKS; V. THE OFF-BY-ONE BANE; VI. RECURSION DEPTH; VII. MODULO PITFALLS; VIII. EDGE CASE EXAMPLES; IX. STRESS-TEST FOR EDGES; X. THE FINAL TRUTH
"What topics does '🧙 The Polya Method — The Eternal Four Steps' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/11-The-Polya-Method.md — covers: I. POLYA'S FOUR STEPS; II. POLYA'S QUESTIONS — THE FULL LIST; III. POLYA APPLIED TO DSA; IV. THE POLYA TEMPLATES; V. THE LOOKING-BACK DISCIPLINE; VI. THE POLYA SPIRAL; VII. POLYA-STYLE EXERCISES; VIII. RECOMMENDED READING; IX. THE FINAL TRUTH
"What topics does '⚔️ The Problem Attack Protocol' cover, and where does it live?",DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/12-The-Problem-Attack-Protocol.md — covers: I. THE FULL PROTOCOL; II. TIME ALLOCATION; III. THE RED LIGHTS; IV. SWITCHING PROBLEMS (CONTEST DISCIPLINE); V. DEBUG PROTOCOL (if WA); VI. THE PROBLEM-ATTACK CHEAT-SHEET (for under desk); VII. EXAMPLES OF THE PROTOCOL IN ACTION; VIII. THE FINAL TRUTH
"What topics does '🏛️ Data Structures Universe' cover, and where does it live?",DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/00-Index.md — covers: 📚 Contents; 🧭 Recommended Learning Order; 📊 THE COMPLETE STRUCTURE LIST (53 structures); 📌 DEEP REFERENCE
"What topics does '🪨 Arrays — The Atomic Data Structure' cover, and where does it live?",DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/01-Arrays.md — covers: I. WHAT IS AN ARRAY?; II. STATIC vs DYNAMIC; III. AMORTIZED ANALYSIS OF DYNAMIC ARRAY; IV. OPERATIONS COMPLEXITY; V. MEMORY LAYOUT & CACHE; VI. MULTI-DIMENSIONAL ARRAYS; VII. ESSENTIAL OPERATIONS PATTERNS; VIII. INTERVIEW PROBLEMS (TOP 30); IX. ARRAY TRICKS (THE CRAFT); X. PYTHON / JAVA / C++ SPECIFICS; XI. TEMPLATES; XII. RECOMMENDED PROBLEMS
"What topics does '🗺️ Hash Tables — The O(1) Magic' cover, and where does it live?","DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/07-Hash-Tables.md — covers: I. THE IDEA; II. COLLISIONS; III. LOAD FACTOR & RESIZING; IV. HASH FUNCTION QUALITY; V. PYTHON DICT INTERNALS; VI. C++ STL: unordered_map vs map; VII. HASH SET; VIII. PROBLEMS WHERE HASH TABLES SHINE; IX. WHEN NOT TO USE HASH TABLES; X. FROM SCRATCH IMPLEMENTATION (C++); XI. RECOMMENDED READING; 08 — BLOOM FILTER (hash-based set, probabilistic)"
"What topics does '📐 Segment Tree — The Range Query Workhorse' cover, and where does it live?","DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/26-Segment-Tree.md — covers: I. THE IDEA; II. STRUCTURE; III. RECURSIVE IMPLEMENTATION (sum query, point update); IV. ITERATIVE SEGMENT TREE (cache-friendly); V. AGGREGATION FUNCTION; VI. RANGE UPDATE (Lazy Propagation); VII. COMMON PROBLEMS; VIII. EXTENSIONS; IX. WHEN TO USE; X. ALTERNATIVES; XI. INTERVIEW TIPS"
"What topics does '🔗 Disjoint Set Union (Union-Find)' cover, and where does it live?",DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/32-Disjoint-Set-Union.md — covers: I. THE PROBLEM; II. NAIVE IMPLEMENTATIONS; III. THE OPTIMIZATIONS; IV. CANONICAL IMPLEMENTATION; V. PROBLEMS USING DSU (TOP 30); VI. EXTENSIONS; VII. COMMON PITFALLS; VIII. WHEN TO USE DSU; IX. WHEN NOT TO USE DSU; X. RECOMMENDED READING
"What topics does '🌌 Advanced & Exotic Data Structures Compendium' cover, and where does it live?",DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Advanced-DS.md — covers: 33 — KD-TREE (k-Dimensional Tree); 34 — QUADTREE; 35 — R-TREE; 36 — BVH (Bounding Volume Hierarchy); 37 — SKIP LIST; 38 — ROPE; 39 — LINK-CUT TREE; 40 — EULER TOUR TREE; 41 — TOP TREES; 42 — LI CHAO TREE; 43 — VAN EMDE BOAS TREE; 44 — FUSION TREE
"What topics does '🔥 Heaps & Range Query Compendium' cover, and where does it live?",DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Heaps-And-Range.md — covers: 19 — BINARY HEAP; 20 — FIBONACCI HEAP; 21 — PAIRING HEAP; 22 — INDEXED PRIORITY QUEUE; 23 — PREFIX SUM & DIFFERENCE ARRAY; 24 — SPARSE TABLE; 25 — FENWICK TREE / BIT; 26-29 — SEGMENT TREE FAMILY; 30 — MERGE SORT TREE; 31 — WAVELET TREE
"What topics does '📚 Linear Structures Compendium' cover, and where does it live?",DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Linear-Structures.md — covers: 02 — STRINGS; 03 — LINKED LISTS; 04 — STACKS; 05 — QUEUES; 06 — DEQUES
"What topics does '🌳 Trees Compendium' cover, and where does it live?",DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Trees.md — covers: 10 — BINARY TREES; 11 — BINARY SEARCH TREES (BST); 12 — AVL TREES; 13 — RED-BLACK TREES; 14 — B-TREES (and B+ TREES); 15 — SPLAY TREES; 16 — TREAP; 17 — TRIE (Prefix Tree); 18 — SUFFIX TREE
"What topics does '⚙️ Algorithms Universe' cover, and where does it live?",DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/00-Index.md — covers: 📚 Contents; 🧭 The Algorithm Paradigms (Big Picture); 📌 DEEP REFERENCE
